#
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       0.0000000      0.44302000      0.59078578      -37.053382
     0.010416667      0.22274000      0.11990237      -5.2403782
     0.020833333      0.33384545      0.43524283       10.991280
     0.031250000      0.45172500      0.73626763       12.131685
     0.041666667      0.58658889      0.91975373       7.0660000
     0.052083333      0.59893333       1.1065865      -2.6116267
     0.062500000      0.53218000      0.45757283      -16.534857
     0.072916667      0.25445714      0.22272482      -14.800183
     0.083333333      0.22384286      0.16807215      -3.0369429
     0.093750000      0.19118750      0.16279406      -1.0592571
      0.10416667      0.20177500      0.12919065      -3.0672857
      0.11458333      0.12728571     0.038710052      -3.6880800
      0.12500000      0.12494000     0.027937573    -0.031714286
      0.13541667      0.12662500     0.038077130      0.24468000
      0.14583333      0.13003750     0.038125392       2.0121818
      0.15625000      0.16854545      0.10191100       1.4079600
      0.16666667      0.15937000     0.086953960      0.94608485
      0.17708333      0.18825556      0.11949681       1.0244400
      0.18750000      0.18071250      0.11201310       2.2845333
      0.19791667      0.23585000      0.13412166      0.61380000
      0.20833333      0.19350000     0.097816444      0.28656000
      0.21875000      0.24182000      0.11539318     -0.98133333
      0.22916667      0.17305556     0.078565150      -1.5040457
      0.23958333      0.21048571      0.11278415    -0.054400000
      0.25000000      0.17192222     0.085927146      -3.0780343
      0.26041667      0.14636000     0.049443635      -1.0063238
      0.27083333      0.15095714     0.057766220     -0.22230857
      0.28125000      0.14172857     0.038736319      0.92653714
      0.29166667      0.17026000     0.085053136       1.2711619
      0.30208333      0.16821111     0.092181742      0.84952000
      0.31250000      0.18795833      0.10828154      0.12906667
      0.32291667      0.17090000      0.10071202      0.80146667
      0.33333333      0.20465556      0.13469897       1.9305600
      0.34375000      0.21112000      0.13295019       1.9309333
      0.35416667      0.24488333      0.14213387     -0.45216000
      0.36458333      0.20170000      0.10009234      -1.7578000
      0.37500000      0.20826250      0.13854363      -1.8384000
      0.38541667      0.16340000      0.11432155      0.69566667
      0.39583333      0.22275556      0.14178563      0.17074286
      0.40625000      0.16695714     0.085625694     -0.37706667
      0.41666667      0.21490000      0.17585852    -0.099942857
      0.42708333      0.16487500     0.078519929      -1.8768000
      0.43750000      0.17580000     0.062145501       2.6548000
      0.44791667      0.22018333      0.14651515      0.30384000
      0.45833333      0.18213000      0.11594191       1.9261333
      0.46875000      0.26031111      0.21631495       1.5735600
      0.47916667      0.21491250      0.15295377       2.9439238
      0.48958333      0.32164286      0.22145035       4.0674000
      0.50000000      0.29965000      0.28247095       1.6219429
      0.51041667      0.35543333      0.35111532      -2.7048000
      0.52083333      0.24330000      0.21628080      -6.6208000
      0.53125000      0.21750000      0.22128459      -2.9484000
      0.54166667      0.18187500     0.090750549      -4.0108800
      0.55208333      0.13394000     0.092355336     -0.44600000
