#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       0.0000000      -999.00000      -999.00000      -999.00000
     0.010416667      0.26165000      0.14191633       29.961600
     0.020833333      0.68215000      0.61019428       50.774400
     0.031250000      -999.00000      -999.00000      -999.00000
     0.041666667       2.1735500      0.52587531       8.3472000
     0.052083333      -999.00000      -999.00000      -999.00000
     0.062500000       1.0299500     0.083226468      -61.626667
     0.072916667      0.35293333      0.34794323      -32.263200
     0.083333333      0.35780000      0.18393681      -3.0368000
     0.093750000      0.28966667      0.24834028      -1.9616000
      0.10416667      0.31693333      0.14480681      -6.7376000
      0.11458333      0.14930000    0.0079195959      -10.620533
      0.12500000      -999.00000      -999.00000      -999.00000
      0.13541667      0.15605000    0.0040305087       2.6304000
      0.14583333      -999.00000      -999.00000      -999.00000
      0.15625000      0.25890000      0.12080624       1.9720000
      0.16666667      0.26400000      0.15315933       6.0096000
      0.17708333      0.38410000     0.013152186       7.9696000
      0.18750000      -999.00000      -999.00000      -999.00000
      0.19791667      0.40180000     0.023900209      -7.5568000
      0.20833333      0.27930000      0.14976522      -4.8768000
      0.21875000      0.30020000      0.10905168      -1.7680000
      0.22916667      0.24246667     0.095847918      0.70240000
      0.23958333      0.31483333     0.088602784    0.0032000000
      0.25000000      0.24253333      0.11075966      -5.7597333
      0.26041667      -999.00000      -999.00000      -999.00000
      0.27083333      0.17175000    0.0026162951    -0.040000000
      0.28125000      -999.00000      -999.00000      -999.00000
      0.29166667      0.24086667      0.12110220       3.7928000
      0.30208333      0.28285000      0.15379572       2.1064000
      0.31250000      0.28475000      0.13612184       2.4656000
      0.32291667      -999.00000      -999.00000      -999.00000
      0.33333333      0.43125000    0.0082731493       3.3456000
      0.34375000      -999.00000      -999.00000      -999.00000
      0.35416667      0.42415000     0.017606959      -11.011733
      0.36458333      0.25386667      0.12804899      -4.0024000
      0.37500000      0.34076667      0.14477902     -0.21120000
      0.38541667      0.24946667      0.12326432       2.0544000
      0.39583333      0.38356667     0.092173225      -3.3848000
      0.40625000      0.17895000   0.00021213203      -13.101067
      0.41666667      -999.00000      -999.00000      -999.00000
      0.42708333      0.17860000     0.012586501       3.4686000
      0.43750000      -999.00000      -999.00000      -999.00000
      0.44791667      0.32347500      0.17508458       1.8236000
      0.45833333      0.31575000      0.19028243       13.834800
      0.46875000      0.61170000     0.043982042       19.312000
      0.47916667      -999.00000      -999.00000      -999.00000
      0.48958333      0.63490000     0.042002143      -7.6512000
      0.50000000      0.50955000      0.49744962      -4.4000000
      0.51041667      0.54323333      0.43930252      -7.3560000
      0.52083333      0.35630000      0.33890496      -6.6464000
      0.53125000      0.40476667      0.28502544      -5.9360000
      0.54166667      0.23263333      0.11194893      -12.216267
      0.55208333      -999.00000      -999.00000      -999.00000
      0.56250000      0.15765000     0.012657211     -0.10480000
      0.57291667      -999.00000      -999.00000      -999.00000
      0.58333333      0.22826667      0.13133078       8.6488000
      0.59375000      0.34575000      0.28093352       3.7132000
      0.60416667      0.30562500      0.17936723     0.023600000
      0.61458333      -999.00000      -999.00000      -999.00000
      0.62500000      0.46760000     0.042992092       1.9758000
      0.63541667      -999.00000      -999.00000      -999.00000
      0.64583333      0.38795000     0.027789297      -9.1944000
      0.65625000      0.26420000      0.14163742      -5.5304000
      0.66666667      0.27273333      0.15149292     -0.38720000
      0.67708333      0.25613333      0.15291221       20.203200
      0.68750000      0.69363333      0.54288220      -4.0552000
      0.69791667      0.17165000     0.011808683      -33.282133
      0.70833333      -999.00000      -999.00000      -999.00000
      0.71875000      0.17945000    0.0017677670       3.2328000
      0.72916667      -999.00000      -999.00000      -999.00000
      0.73958333      0.30635000      0.12039592       4.8560000
      0.75000000      0.35050000      0.19049457       3.6144000
      0.76041667      0.38165000    0.0026162951       3.0744000
      0.77083333      -999.00000      -999.00000      -999.00000
      0.78125000      0.44920000     0.019374726      -6.1896000
      0.79166667      0.33560000      0.20110117       4.9888000
      0.80208333      0.55313333      0.34827981      -2.7968000
      0.81250000      0.27733333      0.15677935      -11.371200
      0.82291667      0.31623333      0.11793194       14.785600
      0.83333333      0.58536667      0.69736261       10.761867
      0.84375000      -999.00000      -999.00000      -999.00000
      0.85416667      0.18145000    0.0057275649     -0.38880000
      0.86458333      -999.00000      -999.00000      -999.00000
      0.87500000      0.56916667      0.62521281      -9.5128000
      0.88541667      0.32360000      0.16320025      -12.084800
      0.89583333      0.31740000      0.11471713       2.1968000
      0.90625000      -999.00000      -999.00000      -999.00000
      0.91666667      0.47950000     0.098570685       6.6936000
      0.92708333      -999.00000      -999.00000      -999.00000
      0.93750000      0.59630000      0.18059507      -11.752533
      0.94791667      0.38346667      0.31760040       3.0496000
      0.95833333      0.65983333      0.39872141      -4.6640000
      0.96875000      0.28630000      0.13735687      -6.7856000
      0.97916667      0.51846667      0.39379388      -3.7272000
      0.98958333      0.20865000    0.0068589358      -18.633067
       1.0000000      -999.00000      -999.00000      -999.00000
       1.0104167      0.28335000      0.10203551       1.1408000
       1.0208333      0.28250000     0.090457946     -0.83280000
       1.0312500      0.26600000      0.12402653      0.53400000
       1.0416667      0.29362500      0.11199034       3.2620000
       1.0520833      -999.00000      -999.00000      -999.00000
       1.0625000      0.38700000     0.030405592       13.276400
       1.0729167      0.57110000      0.11554125       9.4160000
       1.0833333      -999.00000      -999.00000      -999.00000
       1.0937500      0.42320000      0.28541511      -6.1968000
       1.1041667      0.36335000      0.21616254       2.2872000
       1.1145833      0.47085000      0.34302135       2.6160000
       1.1250000      0.41785000      0.26551860      -11.923200
       1.1354167      0.22245000    0.0091216775      -12.946400
       1.1458333      -999.00000      -999.00000      -999.00000
       1.1562500      0.19490000    0.0053740115       4.7304000
       1.1666667      0.27570000      0.10818734       9.4480000
       1.1770833      0.39173333      0.35097265       1.9744000
       1.1875000      0.31683333      0.10658787      -4.1957333
       1.1979167      -999.00000      -999.00000      -999.00000
       1.2083333      0.35420000     0.014990664     -0.55600000
       1.2187500      -999.00000      -999.00000      -999.00000
       1.2291667      0.29366667     0.088192195      -2.5312000
       1.2395833      0.26925000      0.10132840      -1.0580000
       1.2500000      0.27162500     0.090836570      0.60720000
       1.2604167      0.28190000      0.11483414      -1.5564000
       1.2708333      0.23920000     0.073230936      -3.4504000
       1.2812500      -999.00000      -999.00000      -999.00000
       1.2916667      0.19435000    0.0034648232      0.99920000
       1.3020833      -999.00000      -999.00000      -999.00000
       1.3125000      0.28083333     0.072453870       3.9501333
       1.3229167      0.32093333     0.086072082      0.57760000
       1.3333333      0.29286667      0.13140237      0.91760000
       1.3437500      0.34005000     0.049002500       3.7821333
       1.3541667      -999.00000      -999.00000      -999.00000
       1.3645833      0.38770000     0.060386919     -0.99540000
       1.3750000      -999.00000      -999.00000      -999.00000
       1.3854167      0.29857500     0.096094654      -1.8532000
       1.3958333      0.29190000      0.12374369     -0.41640000
       1.4062500      0.28990000     0.091975975      0.62880000
       1.4166667      0.30500000      0.12162237      -4.4328000
       1.4270833      0.19755000    0.0065760931      -7.0304000
       1.4375000      -999.00000      -999.00000      -999.00000
       1.4479167      0.18795000    0.0051618795       5.8208000
       1.4583333      0.28130000      0.12049100       1.8488000
       1.4687500      0.22646667     0.054634177       3.2576000
       1.4791667      0.34916667      0.14099909       7.1053333
       1.4895833      -999.00000      -999.00000      -999.00000
       1.5000000      0.30245000    0.0081317280      -2.2992000
       1.5104167      -999.00000      -999.00000      -999.00000
       1.5208333      0.25336667     0.068893130      -4.0472000
       1.5312500      0.20240000     0.059821234     -0.25280000
       1.5416667      0.24810000     0.099377999       1.4616000
       1.5520833      0.23285000     0.094115913      -1.8400000
       1.5625000      0.20976667     0.084934700      -2.0752000
       1.5729167      -999.00000      -999.00000      -999.00000
       1.5833333      0.17240000    0.0049497475     -0.41040000
       1.5937500      -999.00000      -999.00000      -999.00000
       1.6041667      0.19266667     0.080202515       4.3605333
       1.6145833      0.25573333     0.092040009      0.44000000
       1.6250000      0.20183333     0.086233482       1.8224000
       1.6354167      0.29370000     0.019940411       7.2050667
       1.6458333      -999.00000      -999.00000      -999.00000
       1.6562500      0.37655000     0.083933575     -0.40080000
       1.6666667      -999.00000      -999.00000      -999.00000
       1.6770833      0.27700000      0.10094754       2.0168000
       1.6875000      0.33340000      0.21227346      0.22320000
       1.6979167      0.28165000     0.098751861       8.5416000
       1.7083333      0.51135000      0.44667935      -2.4576000
