#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       0.0000000      -999.00000      -999.00000      -999.00000
     0.010416667      -999.00000      -999.00000      -999.00000
     0.020833333     0.089400000     0.046244783       1.8630400
     0.031250000      -999.00000      -999.00000      -999.00000
     0.041666667      -999.00000      -999.00000      -999.00000
     0.052083333      0.14345000     0.021142493       1.5961600
     0.062500000      -999.00000      -999.00000      -999.00000
     0.072916667      0.17485000     0.063144636      0.99900952
     0.083333333      -999.00000      -999.00000      -999.00000
     0.093750000      -999.00000      -999.00000      -999.00000
      0.10416667      -999.00000      -999.00000      -999.00000
      0.11458333      -999.00000      -999.00000      -999.00000
      0.12500000      -999.00000      -999.00000      -999.00000
      0.13541667      -999.00000      -999.00000      -999.00000
      0.14583333      0.11800000    0.0036769553     -0.98152381
      0.15625000      -999.00000      -999.00000      -999.00000
      0.16666667     0.096350000    0.0064346717     -0.61200000
      0.17708333      -999.00000      -999.00000      -999.00000
      0.18750000     0.092500000     0.013859293      0.12120000
      0.19791667      -999.00000      -999.00000      -999.00000
      0.20833333      0.10140000    0.0083438600      0.65400000
      0.21875000      -999.00000      -999.00000      -999.00000
      0.22916667      0.11975000     0.015909903      0.29360000
      0.23958333      0.11975000     0.015909903  -8.8817842e-16
      0.25000000      0.11975000     0.015909903       0.0000000
      0.26041667      0.11975000     0.015909903       0.0000000
      0.27083333      0.11975000     0.015909903      0.20400000
      0.28125000      0.12400000    0.0028284271     0.060800000
      0.29166667      -999.00000      -999.00000      -999.00000
      0.30208333      0.11080000    0.0065053824      0.32280000
      0.31250000      -999.00000      -999.00000      -999.00000
      0.32291667      0.13745000    0.0030405592      0.88800000
      0.33333333      -999.00000      -999.00000      -999.00000
      0.34375000      0.14780000    0.0016970563      0.58320000
      0.35416667      -999.00000      -999.00000      -999.00000
      0.36458333      0.16175000    0.0086974134      0.62822857
      0.37500000      -999.00000      -999.00000      -999.00000
      0.38541667      -999.00000      -999.00000      -999.00000
      0.39583333      -999.00000      -999.00000      -999.00000
      0.40625000      -999.00000      -999.00000      -999.00000
      0.41666667      -999.00000      -999.00000      -999.00000
      0.42708333      -999.00000      -999.00000      -999.00000
      0.43750000      0.19700000     0.013293607    -0.053104762
      0.44791667      -999.00000      -999.00000      -999.00000
      0.45833333      0.19270000     0.010182338      0.25680000
      0.46875000      -999.00000      -999.00000      -999.00000
      0.47916667      0.20770000    0.0097580736      0.54960000
      0.48958333      -999.00000      -999.00000      -999.00000
      0.50000000      0.21560000     0.012727922       1.4376000
      0.51041667      -999.00000      -999.00000      -999.00000
      0.52083333      0.26760000     0.028567114      0.83200000
      0.53125000      0.26760000     0.028567114       0.0000000
