#
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       0.0000000      -999.00000      -999.00000      -999.00000
     0.010416667      -1.5348182       1.9165428      -46.896000
     0.020833333      -2.0030000       2.3640160      -42.994909
     0.031250000      -2.4305455       1.0730873      -50.000000
     0.041666667      -3.0446667       1.2212357      -9.3063896
     0.052083333      -2.6244286      0.69633394       141.20000
     0.062500000     -0.10300000       3.8839413       91.428571
     0.072916667     -0.71966667       2.4786421      -27.428571
     0.083333333     -0.67442857       4.2889254      -66.400000
     0.093750000      -2.1030000       4.0105219      -7.2380952
      0.10416667     -0.82522222       4.2570611       10.080000
      0.11458333      -1.8930000       4.8386982       21.166667
      0.12500000     -0.38425000       4.6140266      -7.6800000
      0.13541667      -2.0530000       4.2730746      -15.300000
      0.14583333     -0.70300000       3.7961238       10.133333
      0.15625000      -1.8418889       3.4790244      -27.490909
      0.16666667      -1.2757273       3.6589864      -63.833333
      0.17708333      -3.1717500       3.0729160      -56.242424
      0.18750000      -2.4474444       2.6238622       48.420000
      0.19791667      -2.1630000      0.84068425      0.76190476
      0.20833333      -2.4315714       1.1037275       20.080000
      0.21875000      -1.7446667       1.5954362       43.771429
      0.22916667      -1.5196667       2.5237621      -31.257143
      0.23958333      -2.3958571       2.9332048      -61.900000
      0.25000000      -2.8092500       2.1863926      -21.257143
      0.26041667      -2.8387143       3.0006547      -2.9000000
      0.27083333      -2.8696667       2.6494654      -9.3857143
      0.28125000      -3.0342500       2.3194731       27.200000
      0.29166667      -2.3030000       2.3101677       32.263636
      0.30208333      -2.3620909       2.3957064      -29.280000
      0.31250000      -2.9130000       1.5645021      -77.696970
      0.32291667      -3.9807778      0.99596408      -49.920000
      0.33333333      -3.9530000       1.9308893       61.333333
      0.34375000      -2.7030000       2.5442091       16.000000
      0.35416667      -3.6196667       2.2286020       31.680000
      0.36458333      -2.0430000       2.7307050      -12.533333
      0.37500000      -3.8807778       2.3322617      -83.451429
      0.38541667      -3.7815714       2.4143421       8.2666667
      0.39583333      -3.7085556       2.7119463       45.371429
      0.40625000      -2.8363333       2.2404613       127.76838
      0.41666667      -1.0467143       3.9814666       86.500000
      0.42708333      -1.0342500       3.8361008       101.29829
      0.43750000       1.0636667       3.6510273       85.740000
      0.44791667      0.75200000       4.5197376       85.360000
      0.45833333       2.8420000       3.8043433       90.960000
      0.46875000       2.6470000       5.5942493       53.940000
      0.47916667       3.9657500       4.0714106      -66.800000
      0.48958333       1.2553333       1.7431055      -50.957143
      0.50000000       2.9041429       3.0332091       102.00000
      0.51041667       3.3803333       5.0408994       125.35714
      0.52083333       5.5157500       5.1410767       223.31429
