#      
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       0.0000000      -999.00000      -999.00000      -999.00000
     0.010416667      0.52200000       4.2779960       80.472000
     0.020833333      0.24700000       3.8183766      -133.27200
     0.031250000      -2.2545000      0.13930004      -160.47200
     0.041666667      -999.00000      -999.00000      -999.00000
     0.052083333      -2.2780000      0.24748737       69.236000
     0.062500000      -999.00000      -999.00000      -999.00000
     0.072916667      0.63033333       3.1401964       203.33333
     0.083333333       3.0803333       3.6001157       45.600000
     0.093750000       1.5803333       3.2635614       36.000000
      0.10416667       3.8303333       4.1756237       189.86667
      0.11458333      -999.00000      -999.00000      -999.00000
      0.12500000       6.6970000       0.0000000       10.800000
      0.13541667      -999.00000      -999.00000      -999.00000
      0.14583333       4.2803333       2.5081534      -85.600000
      0.15625000       3.5470000      0.21213203      -13.600000
      0.16666667       3.9970000      0.60827625      -22.400000
      0.17708333      -999.00000      -999.00000      -999.00000
      0.18750000      0.79700000      0.98994949      -132.00000
      0.19791667      -999.00000      -999.00000      -999.00000
      0.20833333      -1.5030000       1.0392305       25.066667
      0.21875000     -0.53633333       1.1405408       103.20000
      0.22916667      0.64700000      0.65000000       15.200000
      0.23958333     -0.21966667      0.98657657      -72.000000
      0.25000000     -0.85300000       1.9091883       34.400000
      0.26041667      0.49700000      0.21213203       66.000000
      0.27083333      -999.00000      -999.00000      -999.00000
      0.28125000     -0.77800000      0.10606602       90.000000
      0.29166667      0.94700000       1.1313708       26.400000
      0.30208333     -0.22800000       1.5981760      -139.20000
      0.31250000      -1.9530000       2.1920310      -151.20000
      0.32291667      -3.3780000      0.10606602      -30.400000
      0.33333333      -999.00000      -999.00000      -999.00000
      0.34375000      0.42200000      0.10606602      -20.800000
      0.35416667     -0.85300000       0.0000000      -24.400000
      0.36458333    -0.086333333      0.17559423      -24.000000
      0.37500000      -1.3530000       1.5874508      -100.80000
      0.38541667      -2.1863333       1.8475209       10.400000
      0.39583333      -1.1363333       1.5332428       93.733333
      0.40625000      -999.00000      -999.00000      -999.00000
      0.41666667      0.52200000      0.53033009       70.800000
      0.42708333      -999.00000      -999.00000      -999.00000
      0.43750000       1.8136667       1.2741010       16.400000
      0.44791667       1.7470000       2.1920310      -1.6000000
      0.45833333       1.7803333       2.3538975      -15.200000
      0.46875000      -999.00000      -999.00000      -999.00000
      0.47916667      0.69700000      0.42426407       37.200000
      0.48958333      -999.00000      -999.00000      -999.00000
      0.50000000       3.3303333       4.0848297       218.13333
      0.51041667       6.0803333       4.4923082      -24.000000
      0.52083333       2.8303333       5.5475971      -42.400000
      0.53125000       5.1970000       6.2371869       60.800000
      0.54166667       4.0970000       8.1317280       224.40000
      0.55208333       9.8720000      0.45961941       418.80000
      0.56250000      -999.00000      -999.00000      -999.00000
      0.57291667       12.947000      0.42426407      -320.40000
      0.58333333       7.1720000       10.712668      -209.40000
      0.59375000       8.5845000       7.3180570       81.600000
      0.60416667       8.8720000       7.8135299      -240.60000
      0.61458333       3.5720000      0.53033009      -369.20000
      0.62500000      -999.00000      -999.00000      -999.00000
      0.63541667       1.6970000      0.49497475       418.00000
      0.64583333       8.6970000       4.7376154       316.00000
      0.65625000       8.2803333       3.4961884       102.40000
      0.66666667       10.830333       2.4861282      -29.600000
      0.67708333       7.6636667       4.0153871      -16.800000
      0.68750000       10.480333       4.5333027       221.33333
      0.69791667      -999.00000      -999.00000      -999.00000
      0.70833333       13.047000      0.63639610       1.6000000
      0.71875000      -999.00000      -999.00000      -999.00000
      0.72916667       10.547000       2.4979992      -64.000000
      0.73958333       10.172000       4.2779960      -72.000000
      0.75000000       9.0470000       2.7622455      -91.600000
      0.76041667      -999.00000      -999.00000      -999.00000
      0.77083333       7.8220000      0.53033009      -12.400000
      0.78125000      -999.00000      -999.00000      -999.00000
      0.79166667       8.5303333       3.3519895       89.200000
      0.80208333       9.7470000       3.1634633      -58.400000
      0.81250000       7.3136667       2.5146239      -4.0000000
      0.82291667       9.6636667       1.9211542       42.400000
      0.83333333       8.1970000       2.2627417      -10.400000
      0.84375000       9.4470000      0.14142136       73.600000
      0.85416667      -999.00000      -999.00000      -999.00000
      0.86458333       9.0470000       0.0000000      -190.40000
      0.87500000       6.1720000       4.0658640      -144.60000
      0.88541667       6.0345000       3.0111944       3.6000000
      0.89583333       6.2470000       1.9798990       33.000000
      0.90625000       6.7220000       2.5809398      -25.200000
      0.91666667      -999.00000      -999.00000      -999.00000
      0.92708333       3.2470000      0.28284271       10.000000
      0.93750000       4.2720000       1.4495689       19.200000
      0.94791667       3.6470000       1.2379418      -33.200000
      0.95833333       3.5803333       1.5085865      -26.400000
      0.96875000       3.0970000      0.61441029      -49.600000
      0.97916667       2.5470000      0.63835727      -45.400000
      0.98958333      -999.00000      -999.00000      -999.00000
       1.0000000      -999.00000      -999.00000      -999.00000
       1.0104167       1.8220000      0.17677670      -97.600000
       1.0208333      0.54700000       1.1313708      -91.200000
       1.0312500    -0.078000000       1.1593820      -44.400000
       1.0416667     -0.37800000       1.1667262      -1.2000000
       1.0520833     -0.10300000      0.56568542       13.200000
       1.0625000     -0.10300000      0.56568542       103.20000
       1.0729167       2.0470000      0.21213203       148.80000
       1.0833333       2.9970000       2.0506097       4.8000000
       1.0937500       2.1470000       2.8102491       52.800000
       1.1041667       4.0970000       2.6100766       38.400000
       1.1145833       2.9470000       3.5920050      -15.200000
       1.1250000       3.7803333       2.4116039       105.20000
       1.1354167      -999.00000      -999.00000      -999.00000
       1.1458333       7.0220000      0.53033009       53.600000
       1.1562500      -999.00000      -999.00000      -999.00000
       1.1666667       6.0136667       3.6538792      -41.200000
       1.1770833       5.6220000       4.5608387      -168.00000
       1.1875000       2.5136667       5.3647771      -215.60000
       1.1979167      -999.00000      -999.00000      -999.00000
       1.2083333       1.4720000      0.81317280       12.000000
       1.2187500      -999.00000      -999.00000      -999.00000
       1.2291667       3.0136667      0.85195853       132.40000
       1.2395833       4.6970000       3.0744918       7.2000000
       1.2500000       3.1636667       3.0072135      -3.2000000
       1.2604167       4.6303333       3.9259818      -26.000000
       1.2708333       2.6220000       5.6922096      -18.400000
       1.2812500       4.2470000      0.63639610       85.200000
       1.2916667      -999.00000      -999.00000      -999.00000
       1.3020833       3.0720000      0.81317280      -154.80000
       1.3125000      0.94700000       3.1112698      -176.40000
       1.3229167     -0.60300000      0.43204938      -70.800000
       1.3333333     -0.52800000       1.3788582       12.000000
       1.3437500     -0.35300000      0.56568542       6.0000000
       1.3541667      -999.00000      -999.00000      -999.00000
       1.3645833     -0.67800000      0.38890873      -8.4000000
